Join_Count,TARGET_FID,JOIN_FID,ID,Latitude,Longitude,Plant,Native_Status,Photo,Observer,Date,Source,County,Location_Description,Location_Quality,Citation,AREA,PERIMETER,NAME,CODE,ACRES,Distanc_Feat1_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28_29_30_31_32_33_34_35,Reclass_hfp_12_13_14_15_16_17_18_19_20_21_22_23_24,EucDist_road1_12_13_14,native
1,1,26,wb2630-100,37.693752000000003,-119.755210000000005,Rubus armeniacus,0,,Hector Piceno-Zamora,11/23/2022,National Park Service,Mariposa,1.0 El Portal & Foresta,high,"Calflora [web application]. 2026. The Calflora Database. Retrieved from https://www.calflora.org/ May 20, 2026.",157291277.120999991893768,442698.068000000028405,Non Wilderness,3,38867.519999999996799,2920.6164551,23,509.9019470,0
0,2,-1,wb2630-91,37.671478999999998,-119.801333999999997,Rubus armeniacus,0,,Hector Piceno-Zamora,11/22/2022,National Park Service,Mariposa,1.0 El Portal & Foresta,high,"Calflora [web application]. 2026. The Calflora Database. Retrieved from https://www.calflora.org/ May 20, 2026.",,,,,,632.4555054,35,0.0000000,0
0,3,-1,wb2630-93,37.671045999999997,-119.800679000000002,Rubus armeniacus,0,,Hector Piceno-Zamora,11/22/2022,National Park Service,Mariposa,1.0 El Portal & Foresta,high,"Calflora [web application]. 2026. The Calflora Database. Retrieved from https://www.calflora.org/ May 20, 2026.",,,,,,761.5773315,35,0.0000000,0
0,4,-1,wb2630-115,37.673757999999999,-119.784766000000005,Rubus armeniacus,0,,Megan Barker,11/17/2022,National Park Service,Mariposa,1.0 El Portal & Foresta,high,"Calflora [web application]. 2026. The Calflora Database. Retrieved from https://www.calflora.org/ May 20, 2026.",,,,,,1746.4249268,28,0.0000000,0
1,5,26,wb2630-181,37.741104999999997,-119.569094000000007,Sorghum halepense,0,,Brandon Blackburn,11/15/2022,National Park Service,Mariposa,2.0 Yosemite Valley,high,"Calflora [web application]. 2026. The Calflora Database. Retrieved from https://www.calflora.org/ May 20, 2026.",157291277.120999991893768,442698.068000000028405,Non Wilderness,3,38867.519999999996799,100.0000000,35,0.0000000,0
1,6,26,wb2630-82,37.550209000000002,-119.642076000000003,Cytisus scoparius,0,,Anna Belle Rankin,11/14/2022,National Park Service,Mariposa,3.0 Wawona Region,high,"Calflora [web application]. 2026. The Calflora Database. Retrieved from https://www.calflora.org/ May 20, 2026.",157291277.120999991893768,442698.068000000028405,Non Wilderness,3,38867.519999999996799,509.9019470,53,0.0000000,0
1,7,26,wb2630-84,37.548689000000003,-119.641886999999997,Cytisus scoparius,0,,Ian Cockrill,11/14/2022,National Park Service,Mariposa,3.0 Wawona Region,high,"Calflora [web application]. 2026. The Calflora Database. Retrieved from https://www.calflora.org/ May 20, 2026.",157291277.120999991893768,442698.068000000028405,Non Wilderness,3,38867.519999999996799,538.5164795,53,0.0000000,0
1,8,26,wb2630-158,37.724038000000000,-119.643505000000005,Robinia pseudoacacia,0,,Brandon Blackburn,10/31/2022,National Park Service,Mariposa,2.0 Yosemite Valley,high,"Calflora [web application]. 2026. The Calflora Database. Retrieved from https://www.calflora.org/ May 20, 2026.",157291277.120999991893768,442698.068000000028405,Non Wilderness,3,38867.519999999996799,100.0000000,23,0.0000000,0
1,9,26,wb2630-63,37.742634000000002,-119.576937000000001,Robinia pseudoacacia,0,,Brandon Blackburn,10/26/2022,National Park Service,Mariposa,2.0 Yosemite Valley,high,"Calflora [web application]. 2026. The Calflora Database. Retrieved from https://www.calflora.org/ May 20, 2026.",157291277.120999991893768,442698.068000000028405,Non Wilderness,3,38867.519999999996799,0.0000000,46,0.0000000,0
1,10,26,wb2630-25,37.747675000000001,-119.582617999999997,Robinia pseudoacacia,0,,Brandon Blackburn,10/19/2022,National Park Service,Mariposa,2.0 Yosemite Valley,high,"Calflora [web application]. 2026. The Calflora Database. Retrieved from https://www.calflora.org/ May 20, 2026.",157291277.120999991893768,442698.068000000028405,Non Wilderness,3,38867.519999999996799,0.0000000,43,0.0000000,0
1,11,26,wb2630-33,37.703235999999997,-119.753062999999997,Robinia pseudoacacia,0,,Brandon Blackburn,10/19/2022,National Park Service,Mariposa,1.0 El Portal & Foresta,high,"Calflora [web application]. 2026. The Calflora Database. Retrieved from https://www.calflora.org/ May 20, 2026.",157291277.120999991893768,442698.068000000028405,Non Wilderness,3,38867.519999999996799,1920.9372559,22,100.0000000,0
1,12,1,wb2629-70,37.920633000000002,-119.821725999999998,Rubus armeniacus,0,,Guy Hernandez,9/27/2022,National Park Service,Tuolumne,4.0 Northern Yosemite,high,"Calflora [web application]. 2026. The Calflora Database. Retrieved from https://www.calflora.org/ May 20, 2026.",1564806251.825000047683716,366818.427000000025146,Wilderness,1,386672.049999999988358,282.8427124,14,1252.9964600,0
1,13,26,wb2628-118,37.745199999999997,-119.585095999999993,Cirsium vulgare,0,,Brandon Blackburn,9/22/2022,National Park Service,Mariposa,2.0 Yosemite Valley,high,"Calflora [web application]. 2026. The Calflora Database. Retrieved from https://www.calflora.org/ May 20, 2026.",157291277.120999991893768,442698.068000000028405,Non Wilderness,3,38867.519999999996799,0.0000000,38,0.0000000,0
1,14,26,wb2629-162,37.745088000000003,-119.585026999999997,Rubus laciniatus,0,,Brandon Blackburn,9/22/2022,National Park Service,Mariposa,2.0 Yosemite Valley,high,"Calflora [web application]. 2026. The Calflora Database. Retrieved from https://www.calflora.org/ May 20, 2026.",157291277.120999991893768,442698.068000000028405,Non Wilderness,3,38867.519999999996799,0.0000000,38,0.0000000,0
1,15,26,wb2629-160,37.747495000000001,-119.584896999999998,Rubus armeniacus,0,,Brandon Blackburn,9/22/2022,National Park Service,Mariposa,2.0 Yosemite Valley,high,"Calflora [web application]. 2026. The Calflora Database. Retrieved from https://www.calflora.org/ May 20, 2026.",157291277.120999991893768,442698.068000000028405,Non Wilderness,3,38867.519999999996799,0.0000000,68,0.0000000,0
1,16,26,wb2628-184,37.748966000000003,-119.589100000000002,Robinia pseudoacacia,0,,Brandon Blackburn,9/21/2022,National Park Service,Mariposa,2.0 Yosemite Valley,high,"Calflora [web application]. 2026. The Calflora Database. Retrieved from https://www.calflora.org/ May 20, 2026.",157291277.120999991893768,442698.068000000028405,Non Wilderness,3,38867.519999999996799,141.4213562,65,0.0000000,0
1,17,26,wb2628-180,37.747368000000002,-119.584856000000002,Rubus armeniacus,0,,Brandon Blackburn,9/21/2022,National Park Service,Mariposa,2.0 Yosemite Valley,high,"Calflora [web application]. 2026. The Calflora Database. Retrieved from https://www.calflora.org/ May 20, 2026.",157291277.120999991893768,442698.068000000028405,Non Wilderness,3,38867.519999999996799,0.0000000,41,0.0000000,0
1,18,26,wb2628-164,37.740794999999999,-119.567549000000000,Rubus armeniacus,0,,Guy Hernandez,9/20/2022,National Park Service,Mariposa,2.0 Yosemite Valley,high,"Calflora [web application]. 2026. The Calflora Database. Retrieved from https://www.calflora.org/ May 20, 2026.",157291277.120999991893768,442698.068000000028405,Non Wilderness,3,38867.519999999996799,141.4213562,33,0.0000000,0
1,19,26,wb2628-168,37.740557000000003,-119.568337999999997,Rubus armeniacus,0,,Anna Belle Rankin,9/20/2022,National Park Service,Mariposa,2.0 Yosemite Valley,high,"Calflora [web application]. 2026. The Calflora Database. Retrieved from https://www.calflora.org/ May 20, 2026.",157291277.120999991893768,442698.068000000028405,Non Wilderness,3,38867.519999999996799,141.4213562,32,0.0000000,0
1,20,26,wb2629-195,37.756200999999997,-119.542485999999997,Rubus laciniatus,0,,Ian Cockrill,9/15/2022,National Park Service,Mariposa,2.0 Yosemite Valley,high,"Calflora [web application]. 2026. The Calflora Database. Retrieved from https://www.calflora.org/ May 20, 2026.",157291277.120999991893768,442698.068000000028405,Non Wilderness,3,38867.519999999996799,100.0000000,9,1280.6248779,0
1,21,26,wb2629-216,37.755966999999998,-119.542597999999998,Rubus armeniacus,0,,Chloe Landes-Michelli,9/15/2022,National Park Service,Mariposa,2.0 Yosemite Valley,high,"Calflora [web application]. 2026. The Calflora Database. Retrieved from https://www.calflora.org/ May 20, 2026.",157291277.120999991893768,442698.068000000028405,Non Wilderness,3,38867.519999999996799,100.0000000,9,1280.6248779,0
1,22,26,wb2630-8,37.755245000000002,-119.542625999999998,Rubus armeniacus,0,,Chloe Landes-Michelli,9/15/2022,National Park Service,Mariposa,2.0 Yosemite Valley,high,"Calflora [web application]. 2026. The Calflora Database. Retrieved from https://www.calflora.org/ May 20, 2026.",157291277.120999991893768,442698.068000000028405,Non Wilderness,3,38867.519999999996799,100.0000000,9,1140.1754150,0
1,23,26,wb2630-3,37.757682000000003,-119.539366000000001,Rubus armeniacus,0,,Chloe Landes-Michelli,9/14/2022,National Park Service,Mariposa,2.0 Yosemite Valley,high,"Calflora [web application]. 2026. The Calflora Database. Retrieved from https://www.calflora.org/ May 20, 2026.",157291277.120999991893768,442698.068000000028405,Non Wilderness,3,38867.519999999996799,100.0000000,7,1562.0499268,0
1,24,26,wb2628-138,37.756425000000000,-119.539012999999997,Rubus armeniacus,0,,Brandon Blackburn,9/14/2022,National Park Service,Mariposa,2.0 Yosemite Valley,high,"Calflora [web application]. 2026. The Calflora Database. Retrieved from https://www.calflora.org/ May 20, 2026.",157291277.120999991893768,442698.068000000028405,Non Wilderness,3,38867.519999999996799,0.0000000,8,1486.6069336,0
1,25,26,wb2629-4,37.756216999999999,-119.539276999999998,Rubus armeniacus,0,,Megan Barker,9/14/2022,National Park Service,Mariposa,2.0 Yosemite Valley,high,"Calflora [web application]. 2026. The Calflora Database. Retrieved from https://www.calflora.org/ May 20, 2026.",157291277.120999991893768,442698.068000000028405,Non Wilderness,3,38867.519999999996799,0.0000000,8,1414.2136230,0
1,26,26,wb2629-5,37.756290000000000,-119.539614999999998,Rubus armeniacus,0,,Megan Barker,9/14/2022,National Park Service,Mariposa,2.0 Yosemite Valley,high,"Calflora [web application]. 2026. The Calflora Database. Retrieved from https://www.calflora.org/ May 20, 2026.",157291277.120999991893768,442698.068000000028405,Non Wilderness,3,38867.519999999996799,0.0000000,8,1414.2136230,0
1,27,26,wb2628-3,37.533489000000003,-119.654505000000000,Cirsium vulgare,0,,Anna Belle Rankin,9/13/2022,National Park Service,Mariposa,3.0 Wawona Region,high,"Calflora [web application]. 2026. The Calflora Database. Retrieved from https://www.calflora.org/ May 20, 2026.",157291277.120999991893768,442698.068000000028405,Non Wilderness,3,38867.519999999996799,0.0000000,25,141.4213562,0
1,28,26,wb2627-149,37.535899999999998,-119.653245999999996,Rubus laciniatus,0,,Ian Cockrill,9/13/2022,National Park Service,Mariposa,3.0 Wawona Region,high,"Calflora [web application]. 2026. The Calflora Database. Retrieved from https://www.calflora.org/ May 20, 2026.",157291277.120999991893768,442698.068000000028405,Non Wilderness,3,38867.519999999996799,100.0000000,27,0.0000000,0
1,29,26,wb2628-34,37.536321999999998,-119.657208999999995,Digitalis purpurea,0,,Anna Belle Rankin,9/13/2022,National Park Service,Mariposa,3.0 Wawona Region,high,"Calflora [web application]. 2026. The Calflora Database. Retrieved from https://www.calflora.org/ May 20, 2026.",157291277.120999991893768,442698.068000000028405,Non Wilderness,3,38867.519999999996799,0.0000000,26,0.0000000,0
